# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Lambda

# The data was acquired at a beam energy of 2.567 GeV and the columns are
# labeled as below.  

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with * indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# --------------------------------------------------------------------------


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 2.567 (GeV)


#  Q2       W    cthk     sigU   dsigU    sigTT   dsigTT      sigLT   dsigLT
0.650   1.875   -0.25    72.05    3.19     2.86     9.80    -14.764    5.530
0.650   1.875    0.05    94.01    3.47   -14.59    10.31    -37.279    5.883
0.650   1.875    0.35   126.21    4.15   -57.08    11.96    -37.957    6.901
0.650   1.875    0.65   178.56    7.39   -45.52    19.79    -47.970   14.383
0.650   1.875    0.90   266.53   13.03   -27.20    34.20    -36.289   24.112
0.650   1.925   -0.60    47.19    3.01     6.93    10.34     -2.956    5.685
0.650   1.925   -0.25    48.87    2.67    -7.81     9.34    -17.536    5.049
0.650   1.925    0.05    75.16    2.99   -27.46    10.11    -22.910    5.431
0.650   1.925    0.35   107.35    3.74   -54.21    12.56    -33.885    6.873
0.650   1.925    0.65   156.83    6.74   -31.76    20.24    -17.409   13.972
0.650   1.925    0.90   209.82   18.29   -97.07    52.76   -136.981   40.871
0.650   1.975   -0.60    33.35    2.38     4.25     9.70      0.057    4.950
0.650   1.975   -0.25    33.18    2.13     1.51     8.66    -12.134    4.441
0.650   1.975    0.05    57.73    2.67   -22.07    10.64    -17.777    5.459
0.650   1.975    0.35    85.46    3.51   -41.62    14.13    -23.886    7.241
0.650   1.975    0.65   135.52    5.54   -44.33    20.10    -39.952   12.134
0.650   1.975    0.90   182.66   23.20  -124.54    73.09   -123.150   57.629
0.650   2.050   -0.60    22.08    1.69    -1.05     9.18    -13.053    4.370
0.650   2.050   -0.25    21.97    1.42    -6.18     7.90    -23.250    3.705
0.650   2.050    0.05    49.21    1.96   -42.33    10.89    -25.498    4.865
0.650   2.050    0.35    76.07    2.67   -40.26    14.86    -21.821    6.760
0.650   2.050    0.65   111.56    4.08   -92.93    20.78    -39.244   10.677
0.650   2.050    0.90   176.28   19.62   -20.57    83.12    -92.843   58.138
1.000   1.650   -0.60    74.74    5.11   -11.03    13.33     -1.513    9.079
1.000   1.650   -0.25    72.09    4.16   -10.92    10.83     -2.418    7.000
1.000   1.650    0.05    77.09    4.77    -7.55    11.95     -8.217    8.499
1.000   1.650    0.35    87.67    4.68    14.10    11.30     -3.239    7.976
1.000   1.650    0.65   104.59    5.25   -11.83    12.09    -14.934    8.245
1.000   1.650    0.90   123.93    5.21   -12.90    12.55     -8.301    7.255
1.000   1.725   -0.60    67.90    4.41    13.55    12.66     -5.968    7.538
1.000   1.725   -0.25    77.89    4.40    -8.51    12.92    -29.896    7.410
1.000   1.725    0.05   109.14    5.48   -31.90    15.13    -46.740    9.673
1.000   1.725    0.35   138.44    6.79   -55.56    20.25    -86.281   13.067
1.000   1.725    0.65   248.18   10.28    30.71    28.77    -42.073   19.940
1.000   1.725    0.90   306.73   10.65    21.35    28.09    -17.140   17.239
1.000   1.775   -0.60    31.58    4.01   -36.48    14.05     10.833    8.245
1.000   1.775   -0.25    75.12    3.50   -11.38    11.45    -38.764    6.081
1.000   1.775    0.05   103.96    4.41   -12.62    13.49    -43.713    7.934
1.000   1.775    0.35   154.32    6.29    -9.76    18.79    -44.024   12.502
1.000   1.775    0.65   207.31    8.78   -21.23    26.72    -44.633   18.229
1.000   1.775    0.90   257.74    9.79   -46.28    28.11    -70.541   16.575
1.000   1.825   -0.60    40.73    3.56    32.96    13.30    -26.573    7.594
1.000   1.825   -0.25    66.16    3.23     1.72    12.02    -29.769    6.109
1.000   1.825    0.05    89.05    3.76   -17.38    12.98    -29.373    7.128
1.000   1.825    0.35   128.47    5.09   -31.22    17.35    -51.195   10.409
1.000   1.825    0.65   182.99    8.49    -7.07    28.29    -16.518   19.120
1.000   1.825    0.90   236.55   11.56    38.30    35.30    -21.284   23.391
1.000   1.875   -0.60    44.62    3.45    -0.26    14.57    -20.718    7.495
1.000   1.875   -0.25    52.51    3.22    -0.73    13.90    -15.896    7.057
1.000   1.875    0.05    77.32    3.53   -29.03    14.53    -25.456    7.425
1.000   1.875    0.35   107.78    4.47   -47.62    17.98    -36.925    9.603
1.000   1.875    0.65   135.15    8.86   -58.30    32.71    -58.308   21.722
1.000   1.875    0.90   196.46   15.79     2.38    55.79    -71.404   37.689
1.000   1.925   -0.60    31.57    3.15    47.69    16.20    -19.064    7.835
1.000   1.925   -0.25    35.93    2.89     1.90    15.16    -10.578    7.113
1.000   1.925    0.05    55.01    3.17   -26.34    16.24    -17.338    7.382
1.000   1.925    0.35    83.33    4.09   -66.14    19.86    -28.157    9.221
1.000   1.925    0.65   114.08    8.21   -57.71    37.17    -60.825   22.274
1.000   1.925    0.90   158.55   21.43    27.40    85.18    -54.730   59.397
1.000   1.975   -0.60    26.32    3.01     7.04    20.39    -12.629    8.655
1.000   1.975   -0.25    20.73    2.70    26.02    18.53    -14.948    7.934
1.000   1.975    0.05    37.43    3.01   -25.47    20.02    -18.611    8.344
1.000   1.975    0.35    68.17    4.33   -64.20    28.80    -33.545   11.752
1.000   1.975    0.65    97.75    8.44   -38.95    50.33    -24.296   25.880
1.000   1.975    0.90   185.67   44.81   220.14   196.49     67.840  141.619
