# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Lambda

# The data was acquired at a beam energy of 4.056 GeV and the columns are
# labeled as below.  

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with * indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# ------------------------------------------------------------------------


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 4.056 (GeV)


# Q2       W    cthk     sigU   dsigU    sigTT   dsigTT      sigLT   dsigLT
1.00   2.250    0.05    15.39    1.71     0.57     5.10     -7.340    2.998
1.00   2.250    0.35    29.05    2.67    -3.90     7.22    -16.532    4.441
1.00   2.250    0.65    51.99    5.14   -44.53    13.25    -20.365    9.475
1.00   2.250    0.90   146.57   16.35    33.00    41.35     -7.311   30.844
1.00   2.350   -0.60     3.20    2.96    -0.85     6.29     -1.188    6.095
1.00   2.350   -0.25     4.86    1.21     2.44     4.48     -5.968    2.447
1.00   2.350    0.05     9.65    1.50     1.68     5.30     -3.734    3.055
1.00   2.350    0.35    18.47    2.37     2.62     8.76     -4.342    4.525
1.00   2.350    0.65    44.15    5.33   -40.08    16.46    -20.195   11.257
1.00   2.350    0.90   109.65   22.45    -2.37    62.39    -23.165   51.308
1.55   1.650   -0.60    44.56    5.41    -3.99   11.86       0.990    7.891
1.55   1.650   -0.25    43.03    4.64     4.62    9.35      -9.744    5.897
1.55   1.650    0.05    43.64    4.80     1.13    9.51      -7.566    6.265
1.55   1.650    0.35    44.36    4.80     6.35    9.36     -13.435    5.402
1.55   1.650    0.65    65.82    4.68     6.51    9.01     -19.007    5.035
1.55   1.650    0.90    80.36    5.86   -12.16   10.83     -15.684    6.505
1.55   1.750   -0.60    44.06    3.94   -12.73    8.45       1.867    5.643
1.55   1.750   -0.25    49.44    3.69   -18.62    8.34     -16.928    5.247
1.55   1.750    0.05    78.93    4.35    -2.37    9.60     -28.779    6.010
1.55   1.750    0.35   108.21    5.48    -9.59   12.42     -33.941    7.750
1.55   1.750    0.65   163.22    7.98     4.83   14.96     -30.024    9.178
1.55   1.750    0.90   222.42    7.60     5.57   15.16     -24.607    9.079
1.55   1.850   -0.60    25.66    4.93   -15.75   11.57       2.560    8.372
1.55   1.850   -0.25    47.11    3.17     2.80    6.95     -20.676    4.568
1.55   1.850    0.05    63.44    3.61   -21.84    8.82     -36.911    5.614
1.55   1.850    0.35    88.94    3.80   -32.30    8.87     -39.174    5.445
1.55   1.850    0.65   114.30    5.78   -36.88   12.44     -47.687    7.495
1.55   1.850    0.90   179.13    6.42    14.50   13.43     -16.787    7.891
1.55   1.950   -0.60    19.24    4.55    -2.79    9.67       0.297    7.792
1.55   1.950   -0.25    27.15    2.51     3.57    6.07     -16.815    4.002
1.55   1.950    0.05    42.19    2.67   -19.91    6.54     -18.455    3.762
1.55   1.950    0.35    61.26    3.48   -32.33    7.90     -28.793    5.275
1.55   1.950    0.65    94.00    5.57     3.69   14.07     -12.360    9.405
1.55   1.950    0.90   150.25    7.09   -10.74   15.67     -33.276    8.839
1.55   2.050   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
1.55   2.050   -0.25    12.40    1.60    -1.13    4.43      -6.251    2.701
1.55   2.050    0.05    33.58    2.16    -4.16    5.96     -12.077    3.323
1.55   2.050    0.35    46.98    3.78   -24.90    9.44     -14.878    6.718
1.55   2.050    0.65    74.27    4.68   -12.74   13.36     -12.756    8.528
1.55   2.050    0.90   154.64    8.76    -1.94   20.76       2.234   13.138
1.55   2.150   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
1.55   2.150   -0.25     7.78    1.38     2.28    4.42      -6.916    2.687
1.55   2.150    0.05    18.12    1.73    -4.43    5.49      -6.817    3.055
1.55   2.150    0.35    29.12    3.08   -19.31    9.21     -14.241    5.855
1.55   2.150    0.65    61.71    5.38    -6.83   15.69       3.069   11.087
1.55   2.150    0.90   121.32    9.30   -62.51   24.82     -48.847   13.987
1.55   2.250   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
1.55   2.250   -0.25     4.57    0.97     5.74    3.61      -3.041    2.022
1.55   2.250    0.05     9.62    1.35    -4.76    5.23     -10.366    2.715
1.55   2.250    0.35    17.99    2.25   -11.73    8.62      -9.037    4.681
1.55   2.250    0.65    45.85    6.25     4.61   20.77     -17.112   14.623
1.55   2.250    0.90    85.37   17.55   -51.28   54.03     -75.279   40.786
1.55   2.350   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
1.55   2.350   -0.25     3.99    0.88     6.18    4.32      -2.376    2.220
1.55   2.350    0.05     6.64    1.15    -3.59    5.93      -6.095    2.871
1.55   2.350    0.35    13.42    1.79    -5.28    9.21      -5.869    4.313
1.55   2.350    0.65    33.00    3.57   -46.88   16.97     -25.739    9.221
1.55   2.350    0.90    0.0     0.0      0.0      0.0       0.0      0.0
2.05   1.650   -0.60    26.53    3.42     4.55     7.71      2.517    5.063
2.05   1.650   -0.25    31.29    3.78    -2.74     8.43     -2.234    5.119
2.05   1.650    0.05    36.16    4.36     1.12     9.48     -5.261    6.307
2.05   1.650    0.35    34.63    4.01     0.36     7.93     -4.398    5.346
2.05   1.650    0.65    44.61    4.26    -6.19     8.42    -10.720    4.992
2.05   1.650    0.90    57.26    4.86    -1.77    10.36     -2.814    5.728
2.05   1.750   -0.60    30.90    3.18   -17.42     7.80      5.926    4.978
2.05   1.750   -0.25    37.51    3.61   -11.79     8.67    -11.031    5.402
2.05   1.750    0.05    49.08    3.64    -6.34     8.74    -29.995    5.289
2.05   1.750    0.35    79.64    5.11    -1.65    12.79    -30.985    8.188
2.05   1.750    0.65   118.76    6.06    -0.67    13.05    -42.398    8.047
2.05   1.750    0.90   162.23    6.93   -10.92    15.71    -21.128    9.065
2.05   1.850   -0.60    15.27    3.90   -15.54    10.26      5.515    7.212
2.05   1.850   -0.25    29.93    3.12   -15.25     7.96     -5.204    5.077
2.05   1.850    0.05    47.42    4.49   -10.86    12.33    -17.084    8.118
2.05   1.850    0.35    67.97    3.54   -19.54     9.74    -28.751    5.869
2.05   1.850    0.65    92.24    5.44   -36.59    12.49    -22.415    8.188
2.05   1.850    0.90   135.53    5.87    -4.13    13.96    -24.933    7.905
2.05   1.950   -0.60     9.21    4.08   -14.83    10.08     11.201    7.849
2.05   1.950   -0.25    14.99    2.78    -3.05     8.27     -3.677    5.445
2.05   1.950    0.05    32.55    2.60     1.58     7.64    -12.389    4.554
2.05   1.950    0.35    50.50    4.67    21.74    12.60     -6.251    9.037
2.05   1.950    0.65    76.58    5.56    -4.90    16.09    -22.684   10.479
2.05   1.950    0.90   124.33    7.03    24.21    18.34     -3.705   11.031
2.05   2.050   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
2.05   2.050   -0.25    10.82    2.21    -4.66     7.50     -4.738    4.469
2.05   2.050    0.05    22.44    2.03     2.61     6.99    -17.550    3.790
2.05   2.050    0.35    35.09    3.14   -19.23     9.88    -19.488    6.124
2.05   2.050    0.65    54.61    5.19     4.94    16.79     -7.792   11.116
2.05   2.050    0.90   113.31    8.61    -3.45    25.13     15.627   15.259
2.05   2.150   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
2.05   2.150   -0.25     5.34    1.14    -7.21     4.84      0.537    2.362
2.05   2.150    0.05    14.22    1.73   -11.32     7.33    -11.413    3.734
2.05   2.150    0.35    22.90    2.65     0.79    10.13    -12.558    5.671
2.05   2.150    0.65    55.21    6.27    -2.32    23.22     -9.093   15.641
2.05   2.150    0.90   112.39   16.05   -13.24    48.86     -6.378   37.816
2.05   2.250   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
2.05   2.250   -0.25     3.77    1.04     1.56     4.89     -4.964    2.645
2.05   2.250    0.05     8.81    1.41    -3.81     7.96    -10.946    3.649
2.05   2.250    0.35    14.50    2.22    -0.63    11.95    -12.671    5.572
2.05   2.250    0.65    40.44    6.75    12.08    33.29     -8.839   20.039
2.05   2.250    0.90     0.0     0.0      0.0      0.0       0.0      0.0
2.05   2.350   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
2.05   2.350   -0.25     4.57    1.11    -4.87     9.71     -5.699    3.691
2.05   2.350    0.05     5.56    1.48    -2.01    13.38     -8.415    4.978
2.05   2.350    0.35    11.88    2.14   -16.51    19.27     -0.495    7.297
2.05   2.350    0.65    19.59    4.58   -41.99    40.61    -29.628   16.857
2.05   2.350    0.90     0.0     0.0      0.0      0.0       0.0      0.0
2.55   1.650   -0.60    26.18     3.62    -2.14     9.46    -2.135    5.869 
2.55   1.650   -0.25    23.00     4.43     4.65    11.48     0.071    7.396 
2.55   1.650    0.05    26.34     5.01    -4.30    11.74    -2.560    7.976 
2.55   1.650    0.35    31.86     4.63    -0.05    11.10    -6.802    7.241 
2.55   1.650    0.65    40.42     4.69     6.12    10.46    -3.012    6.534 
2.55   1.650    0.90    39.60     5.31    10.66    12.59   -19.841    7.651 
2.55   1.750   -0.60    20.69     4.93    -9.30    13.97     1.598    8.160 
2.55   1.750   -0.25    26.19     3.77    -7.86    10.66    -6.336    6.406 
2.55   1.750    0.05    42.94     4.30    -2.66    12.56   -17.140    7.495 
2.55   1.750    0.35    62.39     5.76     1.60    15.64   -18.738   10.253 
2.55   1.750    0.65    86.78     6.08    16.98    15.12   -14.566    9.702 
2.55   1.750    0.90   116.28     7.21    -9.23    18.81   -12.247    9.815 
2.55   1.850   -0.60    16.05     5.77    -1.39    14.05    -6.138   10.522 
2.55   1.850   -0.25    21.71     5.19     5.84    16.94    -6.647    9.800 
2.55   1.850    0.05    36.90     3.87    -5.07    12.60    -9.970    7.396 
2.55   1.850    0.35    58.24     4.58    -9.31    14.78   -11.950    9.306 
2.55   1.850    0.65    70.35     6.09   -17.72    17.67   -19.997   11.568 
2.55   1.850    0.90   115.71     6.90    -9.92    20.66   -14.524   11.568 
2.55   1.950   -0.60     0.0      0.0      0.0      0.0      0.0      0.0
2.55   1.950   -0.25    14.81     3.81    14.80    15.06     0.396    8.188 
2.55   1.950    0.05    24.09     3.33    -2.75    12.55    -7.396    6.972 
2.55   1.950    0.35    41.23     5.28    -2.77    18.32   -14.581   11.865 
2.55   1.950    0.65    58.67     6.74    -2.25    22.22    -6.124   14.948 
2.55   1.950    0.90    92.50     8.07   -29.82    27.72    -6.223   15.655 
2.55   2.050   -0.60     0.0      0.0      0.0      0.0      0.0      0.0
2.55   2.050   -0.25    13.85     4.58    24.87    21.44   -23.674   13.619 
2.55   2.050    0.05    14.61     2.15   -11.52     9.96    -7.142    4.738 
2.55   2.050    0.35    31.90     3.97   -33.95    16.79    -4.907    9.164 
2.55   2.050    0.65    51.38     7.28    39.42    28.37    25.088   19.021 
2.55   2.050    0.90    70.15     9.50   -53.24    42.55   -46.471   23.009 
2.55   2.150   -0.60     0.0      0.0      0.0      0.0      0.0      0.0
2.55   2.150   -0.25     3.54     2.19     0.83    12.65    -4.540    7.071 
2.55   2.150    0.05    13.58     2.73   -17.18    17.58   -10.904    7.000 
2.55   2.150    0.35    20.60     3.74    10.43    22.44   -16.744   10.536 
2.55   2.150    0.65    44.45     8.09    29.21    42.07     3.125   24.933 
2.55   2.150    0.90     0.0      0.0      0.0      0.0      0.0      0.0
