# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Sigma0

# The data was acquired at a beam energy of 4.056 GeV and the columns are
# labeled as below.

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with 0 indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# ***********************************************************************


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 4.056 (GeV)


# Q2       W    cthk    sigU   dsigU    sigTT  dsigTT      sigLT   dsigLT
1.55   1.750    0.35   13.55    3.27     0.53    6.45      2.899    3.677
1.55   1.750    0.65    6.81    5.81     9.20   10.18      0.226    5.020
1.55   1.750    0.90    6.51    4.40     0.27    8.02     -0.113    5.346
1.55   1.850   -0.60   18.02    3.39   -12.88    7.78     -2.008    4.964
1.55   1.850   -0.25   36.46    3.77   -11.37    8.29     11.215    5.515
1.55   1.850    0.05   40.45    4.25   -23.05    9.96      2.362    6.675
1.55   1.850    0.35   38.29    4.07    -7.41    9.52     -5.402    6.180
1.55   1.850    0.65   24.52    6.50   -19.72   12.99    -16.900    9.291
1.55   1.850    0.90   18.99    5.50     2.21   11.29     -5.798    6.548
1.55   1.950   -0.60   19.31    5.25    -8.43   13.20     -0.255    9.489
1.55   1.950   -0.25   27.73    2.78    -5.29    6.94      2.022    4.158
1.55   1.950    0.05   36.75    3.43   -25.96    8.12      2.489    5.091
1.55   1.950    0.35   30.84    4.83   -12.72   11.56    -11.597    8.330
1.55   1.950    0.65   19.20    4.99     1.60   13.29    -18.159    8.528
1.55   1.950    0.90   23.79    7.51    -6.43   15.29      0.226    8.881
1.55   2.050   -0.60    5.46    4.60    -3.68    9.12      0.764    7.821
1.55   2.050   -0.25   14.87    1.98    -8.66    5.38      2.333    3.097
1.55   2.050    0.05   19.68    2.37     4.38    6.42     -1.188    3.691
1.55   2.050    0.35   23.59    3.66    -0.38    8.69     -3.719    6.392
1.55   2.050    0.65   23.55    5.21    -0.50   13.88     -7.693    9.504
1.55   2.050    0.90   23.94   14.10     6.52   25.38      3.903   21.524
1.55   2.150   -0.60    4.68    3.40     3.30    8.64     -3.677    6.435
1.55   2.150   -0.25    6.11    1.60     0.29    5.08      2.659    2.942
1.55   2.150    0.05   10.28    1.91     8.54    6.08      0.057    3.422
1.55   2.150    0.35   14.96    3.26    -2.90    9.20     -3.606    6.081
1.55   2.150    0.65   22.93    7.20    25.88   20.10     13.195   15.076
1.55   2.150    0.90   25.66   13.87    20.22   36.99     18.300   23.801
1.55   2.250   -0.60    6.70    3.52     5.03   12.27     -0.127    7.184
1.55   2.250   -0.25    5.51    1.34    -0.46    5.18      1.994    2.744
1.55   2.250    0.05    7.64    1.86     8.68    7.16     -3.182    3.818
1.55   2.250    0.35   10.49    2.75     5.16   10.43     -3.578    5.798
1.55   2.250    0.65   22.55   11.47    30.02   34.78     15.726   27.464
1.55   2.250    0.90   32.78   13.78    38.34   48.44     -3.352   30.745
1.55   2.350   -0.60    4.50    3.55   -17.99   16.31      3.635    9.603
1.55   2.350   -0.25    4.94    1.27     2.18    6.70     -3.210    3.224
1.55   2.350    0.05    3.93    1.85     5.41    9.59      0.000    4.639
1.55   2.350    0.35    7.93    2.38     7.60   12.40      2.616    5.855
1.55   2.350    0.65   17.02    7.58     5.87   32.05     16.037   20.068
1.55   2.350    0.90   52.74   29.15    84.48  110.20     46.754   71.927
2.05   1.750   -0.60    6.62    2.02    -1.53    4.97      2.588    2.843
2.05   1.750   -0.25   10.49    2.72     2.04    6.69      5.812    4.243
2.05   1.750    0.05   10.07    2.86    -9.73    6.71      0.679    2.814
2.05   1.750    0.35   12.10    3.02    -1.95    7.57      6.237    4.441
2.05   1.750    0.65    8.63    3.36    -6.23    7.14      1.796    4.158
2.05   1.750    0.90    0       0        0       0         0        0
2.05   1.850   -0.60   12.86    4.17    -2.89   11.41      3.875    6.378
2.05   1.850   -0.25   17.54    2.90   -11.53    7.68      0.198    4.639
2.05   1.850    0.05   23.71    3.54   -10.24    9.82     -3.578    6.067
2.05   1.850    0.35   23.36    3.83    -3.33   10.30     -5.530    6.619
2.05   1.850    0.65   17.91    6.52    17.41   12.93      2.970   10.451
2.05   1.850    0.90   18.16    5.50    -3.21   13.14      0.523    7.509
2.05   1.950   -0.60    0       0        0       0         0        0
2.05   1.950   -0.25   16.26    3.11    -2.37    9.39     -1.315    5.614
2.05   1.950    0.05   25.34    3.07   -18.18    8.72     -5.077    5.233
2.05   1.950    0.35   18.59    4.82     8.62   13.30     -1.047    9.504
2.05   1.950    0.65   15.06    5.23     5.26   14.79     -2.404   10.140
2.05   1.950    0.90   13.34    6.17    -3.01   14.92      6.873    8.740
2.05   2.050   -0.60    4.31    6.76     0.78   11.93      0.000   13.096
2.05   2.050   -0.25    4.94    2.16    -5.82    7.27     -0.552    4.158
2.05   2.050    0.05   11.47    2.41    -6.39    8.13     -6.010    4.426
2.05   2.050    0.35   18.03    3.66     7.01   10.42      6.237    7.311
2.05   2.050    0.65   17.51    5.63     6.90   18.38     -7.665   12.134
2.05   2.050    0.90   24.82    9.85    12.22   29.76     18.201   16.405
2.05   2.150   -0.60    4.50    3.39     1.10   10.48      0.396    7.934
2.05   2.150   -0.25    6.23    1.76    -1.51    7.64      2.744    4.016
2.05   2.150    0.05    9.08    1.87     1.68    7.93     -5.911    4.130
2.05   2.150    0.35   11.51    2.53     2.79    9.59     -2.390    5.374
2.05   2.150    0.65   11.33    3.24    -2.11   17.63    -10.069    7.467
2.05   2.150    0.90   45.20   10.55    14.45   34.19     30.957   22.557
2.05   2.250   -0.60    8.67    6.49    18.66   21.52    -13.506   18.102
2.05   2.250   -0.25    3.59    1.72    -1.14   10.17      1.202    4.568
2.05   2.250    0.05    6.24    2.00     8.79   11.33     -2.673    5.332
2.05   2.250    0.35    6.00    3.15   -11.19   17.86     -6.053    8.641
2.05   2.250    0.65   15.12    5.01    40.27   32.95     13.096   14.977
2.05   2.250    0.90   57.10   25.75   -29.06   92.34     28.496   65.365
2.05   2.350   -0.60    0       0        0       0         0        0
2.05   2.350   -0.25    3.10    1.58    -3.27   13.65      0.608    6.124
2.05   2.350    0.05    0       0        0       0         0        0
2.05   2.350    0.35    9.57    2.51    -2.53   18.73     -5.629    8.910
2.05   2.350    0.65   18.54    6.72    20.68   58.13     31.028   23.674
2.05   2.350    0.90    0       0        0       0         0        0
2.55   1.750   -0.60    5.91    1.89     0.43    5.28     0.594     3.210
2.55   1.750   -0.25    6.87    2.27     3.80    7.04     2.998     4.045
2.55   1.750    0.05    5.04    2.87     1.11    7.84     2.305     4.313
2.55   1.750    0.35    9.65    2.90    -3.75    7.91     4.228     5.162
2.55   1.750    0.65    6.09    2.33    -6.74    5.71     0.863     3.026
2.55   1.750    0.90    0       0        0       0        0         0
2.55   1.850   -0.60    9.62    3.37    -0.40   11.06     4.653     6.548
2.55   1.850   -0.25   14.69    3.68    -9.00   11.95     3.267     6.873
2.55   1.850    0.05   16.02    3.59   -11.56   11.51    -0.198     6.435
2.55   1.850    0.35   13.46    4.24   -19.72   14.69    -1.541     8.825
2.55   1.850    0.65   14.45    5.31    12.61   15.83     8.853     9.673
2.55   1.850    0.90   10.00    7.04     0.44   21.37    -2.432    12.162
2.55   1.950   -0.60    7.90    8.10    -1.88   18.61    -3.833    17.211
2.55   1.950   -0.25   19.39    3.57    14.85   13.19   -13.251     7.665
2.55   1.950    0.05   21.16    5.94     4.85   21.47    11.738    14.086
2.55   1.950    0.35    7.88    5.03    -6.39   17.55    -6.392    11.059
2.55   1.950    0.65   13.02    5.61    -4.18   18.05    -5.317    12.049
2.55   1.950    0.90   10.12    5.97     9.64   18.78     9.065    10.621
2.55   2.050   -0.60   10.83    8.61     6.26   21.96   -13.845    21.029
2.55   2.050   -0.25   10.70    3.95    26.18   21.23   -18.399    11.003
2.55   2.050    0.05    9.39    2.38    -6.11   11.27    -2.178     5.006
2.55   2.050    0.35   16.19    4.32     2.59   18.41     8.641    10.423
2.55   2.050    0.65    6.67    8.27    -5.93   31.62   -10.112    21.652
2.55   2.050    0.90   32.76    9.13    -4.13   34.08    14.863    20.181
2.55   2.150   -0.60    0       0        0       0        0         0
2.55   2.150   -0.25    3.74    1.75     9.19   11.76    -4.808     5.940
2.55   2.150    0.05    7.50    2.81     4.69   17.13    -1.909     8.089
2.55   2.150    0.35   10.06    3.25    10.91   21.27    12.275     8.881
2.55   2.150    0.65   16.62    9.34    27.37   46.84    20.068    31.155
2.55   2.150    0.90    0       0        0       0        0         0
